ID	ID_rekl	LiczbaFiksacji	CzasFiksacji	CzasNaAOI	PLEC	WIEK4	pismo	tematyka	rodzaj	wielkosc	branza	ADReach	ADExp	ADExpTime	Zauważalność		
ID0101000001511	7562	1	853	853	2	3	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	4,008264	2,349672	100		
ID0101000001511	7565	1	489	489	2	3	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	4,14648	4,14648	92,85714286		
ID0101000001511	7568	1	321	321	2	3	glamou	magazyny luksusowe	normal	1/2 Page	Kosmetyki	0,4	4,14648	1,589484	64,28571429		
ID0101000001511	7575	1	587	587	2	3	glamou	magazyny luksusowe	normal	Full Page	Sieci handlowe	0,4	0,898404	0,34554	100		
ID0101000001511	7584	1	433	433	2	3	glamou	magazyny luksusowe	normal	1/2 Page	Non profit	0,4	1,796808	0,69108	88,88888889		
ID0101000001514	7588	1	410	410	2	3	glamou	magazyny luksusowe	normal	1/2 Page	Zdrowie	0,4	2,626104	1,105728	75		
ID0101000001523	7560	1	303	303	2	3	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	3,524508	2,41878	92,85714286		
ID0101000001523	7561	1	445	445	2	3	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	1,796808	0,69108	92,85714286		
ID0101000001523	7571	1	306	306	2	3	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	0,898404	0,69108	92,30769231		
ID0101000001523	7562	1	955	955	2	3	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	2,349672	1,243944	100		
ID0101000001523	7568	1	325	325	2	3	glamou	magazyny luksusowe	normal	1/2 Page	Kosmetyki	0,4	4,699344	2,76432	64,28571429		
ID0101000001523	7572	1	558	558	2	3	glamou	magazyny luksusowe	normal	Full Page	Kultura i rozrywka	0,4	5,113992	2,142348	92,30769231		
ID0101000001523	7582	1	485	485	2	3	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	1,03662	1,174836	100		
ID0101000001523	7589	1	445	445	2	3	glamou	magazyny luksusowe	normal	1/2 Page	Kultura i rozrywka	0,4	6,150612	4,975776	50		
ID0101000001524	7553	1	331	331	2	3	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	5,113992	4,353804	100		
ID0101000001524	7562	1	457	457	2	3	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	1,03662	0,414648	100		
ID0101000001524	7568	1	1388	1388	2	3	glamou	magazyny luksusowe	normal	1/2 Page	Kosmetyki	0,4	2,07324	2,556996	64,28571429		
ID0101000001524	7573	1	1960	1960	2	3	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	4,077372	1,865916	92,85714286		
ID0101000001537	7571	1	590	590	2	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	17,415216	11,333712	92,30769231		
ID0101000001537	7563	1	1587	1587	2	2	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	6,150612	5,459532	100		
ID0101000001537	7566	1	576	576	2	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	4,906668	2,41878	100		
ID0101000001555	7561	1	421	421	2	1	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	5,321316	5,943288	92,85714286		
ID0101000001555	7570	1	457	457	2	1	glamou	magazyny luksusowe	normal	Full Page	Turystyka i sport	0,4	1,935024	0,621972	100		
ID0101000001558	7578	1	512	512	2	1	glamou	magazyny luksusowe	normal	1/2 Page	Obuwie i odzież	0,4	13,406952	5,597748	100		
ID0101000001558	7591	1	532	532	2	1	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	2,902536	1,105728	100		
ID0101000001570	7554	1	900	900	2	2	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	2,626104	2,211456	100		
ID0101000001570	7555	1	894	894	2	2	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	3,870048	1,520376	100		
ID0101000001570	7556	1	1066	1066	2	2	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	22,943856	19,626672	100		
ID0101000001570	7560	1	309	309	2	2	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	1,38216	0,483756	92,85714286		
ID0101000001570	7561	1	338	338	2	2	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	1,38216	1,520376	92,85714286		
ID0101000001570	7571	1	355	355	2	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	1,38216	0,414648	92,30769231		
ID0101000001570	7562	1	708	708	2	2	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	1,38216	0,483756	100		
ID0101000001570	7569	1	510	510	2	2	glamou	magazyny luksusowe	normal	1/2 Page	Kosmetyki	0,4	1,38216	0,414648	78,57142857		
ID0101000001570	7573	1	345	345	2	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	4,077372	1,658592	92,85714286		
ID0101000001585	7556	1	1710	1710	2	1	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	2,695212	0,898404	100		
ID0101000001585	7557	1	845	845	2	1	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	4,077372	2,211456	100		
ID0101000001585	7560	1	389	389	2	1	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	4,077372	3,317184	92,85714286		
ID0101000001585	7561	1	554	554	2	1	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	3,731832	1,865916	92,85714286		
ID0101000001585	7563	1	634	634	2	1	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	14,85822	9,536904	100		
ID0101000001585	7569	1	489	489	2	1	glamou	magazyny luksusowe	normal	1/2 Page	Kosmetyki	0,4	14,85822	9,536904	78,57142857		
ID0101000001585	7574	1	442	442	2	1	glamou	magazyny luksusowe	normal	1/2 Page	Zdrowie	0,4	27,850524	19,69578	66,66666667		
ID0101000001585	7575	1	521	521	2	1	glamou	magazyny luksusowe	normal	Full Page	Sieci handlowe	0,4	33,448272	13,890708	100		
ID0101000001585	7577	1	589	589	2	1	glamou	magazyny luksusowe	edytorial	Full Page	Obuwie i odzież	0,4	12,992304	10,573524	100		
ID0101000001585	7582	1	456	456	2	1	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	12,992304	10,573524	100		
ID0101000001585	7583	1	401	401	2	1	glamou	magazyny luksusowe	edytorial	Full Page	Zdrowie	0,4	18,590052	8,6385	100		
ID0101000001588	7573	1	454	454	2	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	2,556996	1,03662	92,85714286		
ID0101000001588	7575	1	394	394	2	2	glamou	magazyny luksusowe	normal	Full Page	Sieci handlowe	0,4	1,243944	0,552864	100		
ID0101000001588	7577	1	322	322	2	2	glamou	magazyny luksusowe	edytorial	Full Page	Obuwie i odzież	0,4	1,38216	0,621972	100		
